client_id,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,visitor_id,visit_id,process_step,date_time,variation
1186,99.0,22.0,U,2.0,31662.52,0.0,3.0,446844663_31615102958,507052512_11309370126_442139,0,2017-04-08 15:59:16,0
1186,99.0,22.0,U,2.0,31662.52,0.0,3.0,446844663_31615102958,795373564_99931517312_810896,2,2017-04-08 18:05:24,0
1195,262.0,54.5,M,2.0,28457.96,2.0,5.0,766842522_69992551638,393817425_39015278493_996341,4,2017-04-05 20:19:31,0
2581,58.0,22.0,M,2.0,24976.79,1.0,4.0,770616558_80928163524,182925466_27021409208_83502,0,2017-04-09 06:11:41,0
3647,190.0,63.0,F,2.0,154244.15,4.0,7.0,742136411_92170694666,492965200_82386590930_211259,0,2017-04-10 12:28:09,0
3647,190.0,63.0,F,2.0,154244.15,4.0,7.0,742136411_92170694666,53540785_76819002881_890663,0,2017-06-01 16:01:23,0
5354,58.0,50.5,U,2.0,62282.38,2.0,5.0,233679354_36495397627,192604721_14077630095_819213,4,2017-04-12 20:31:31,0
5354,58.0,50.5,U,2.0,62282.38,2.0,5.0,233679354_36495397627,216367358_55024634523_791141,1,2017-04-13 20:22:39,0
6642,149.0,35.5,M,2.0,34987.23,0.0,3.0,378857471_644475492,261034804_26267268728_251909,4,2017-04-19 12:27:58,0
6977,57.0,53.0,U,2.0,26011.36,0.0,3.0,792636892_70609946663,613260866_97547229511_110040,4,2017-05-08 15:48:43,0
7020,195.0,41.5,F,2.0,63648.09,2.0,5.0,131463516_45910398094,141218980_10356302866_412831,1,2017-04-09 15:18:10,0
7020,195.0,41.5,F,2.0,63648.09,2.0,5.0,131463516_45910398094,61344667_49617029714_100250,1,2017-04-08 10:23:42,0
7567,252.0,33.0,F,2.0,27165.99,1.0,5.0,163847730_30321246396,479688167_74317487515_880130,4,2017-05-07 14:17:14,0
8039,226.0,58.0,U,2.0,79960.0,6.0,9.0,118857899_74239220729,194471241_93096980194_578527,3,2017-04-08 10:20:39,0
8124,170.0,42.0,M,2.0,61022.23,5.0,8.0,615009708_53442935870,994996192_45319706118_538245,0,2017-04-12 11:44:38,0
9229,105.0,42.0,M,2.0,78242.15,6.0,9.0,810786857_11889939941,794978950_70484965288_55630,0,2017-06-09 18:53:30,0
9767,75.0,34.0,M,2.0,29523.54,1.0,4.0,764845651_97641705844,144835432_25378933328_142085,4,2017-05-15 17:18:28,0
9767,75.0,34.0,M,2.0,29523.54,1.0,4.0,764845651_97641705844,489352012_61191794311_961146,3,2017-04-26 16:36:54,0
9845,60.0,25.0,F,2.0,31196.85,0.0,3.0,28074747_75599315539,187244525_96102032989_215558,0,2017-04-17 09:12:14,0
10344,205.0,82.0,M,2.0,94009.47,3.0,6.0,143222235_99177457862,595675198_11906913204_686811,0,2017-04-14 17:25:23,0
11054,56.0,60.0,M,2.0,208185.54,2.0,5.0,952592414_63731951988,175972021_93800420846_435503,4,2017-05-16 11:38:45,0
11122,194.0,40.5,M,2.0,31193.51,2.0,5.0,794370601_86104737583,117291376_25284975669_155364,4,2017-04-20 21:30:43,0
12045,154.0,37.0,F,2.0,140704.74,2.0,5.0,419605351_64615520304,477989259_22493316291_521653,2,2017-06-19 10:29:49,0
13009,121.0,63.5,U,2.0,71534.88,1.0,4.0,360435735_44466390795,377986493_6391607481_598681,4,2017-03-29 12:10:34,0
16095,76.0,30.0,U,2.0,81652.98,1.0,4.0,949438903_33910261122,645543282_32237350832_786360,3,2017-04-08 08:23:36,0
16135,170.0,63.5,F,2.0,173616.2,3.0,6.0,375602926_50119717068,134174297_19985183355_947935,4,2017-04-11 13:43:18,0
16135,170.0,63.5,F,2.0,173616.2,3.0,6.0,973833159_30067220181,252156179_52504721538_22420,1,2017-04-10 19:27:49,0
16135,170.0,63.5,F,2.0,173616.2,3.0,6.0,973833159_30067220181,603799110_74928570629_78901,1,2017-04-12 18:44:54,0
